POSTE;DATE;FFM;DIRT
33281001;19500101;3,5;
33281001;19500102;0,9;
33281001;19500103;3,8;
33281001;19500104;3,6;
33281001;19500105;0,8;
33281001;19500106;2,0;
33281001;19500107;4,5;
33281001;19500108;6,3;
33281001;19500109;3,3;
33281001;19500110;0,8;
33281001;19500111;1,9;
33281001;19500112;3,8;
33281001;19500113;2,3;
33281001;19500114;1,4;
33281001;19500115;1,4;
33281001;19500116;3,3;
33281001;19500117;4,3;
33281001;19500118;6,5;
33281001;19500119;4,1;
33281001;19500120;4,8;
33281001;19500121;1,5;
33281001;19500122;1,0;
33281001;19500123;1,6;
33281001;19500124;1,3;
33281001;19500125;2,0;
33281001;19500126;2,5;
33281001;19500127;2,4;
33281001;19500128;3,3;
33281001;19500129;2,3;
33281001;19500130;3,8;
33281001;19500131;5,5;
33281001;19500201;4,3;
33281001;19500202;5,9;
33281001;19500203;7,4;
33281001;19500204;7,1;
33281001;19500205;7,8;
33281001;19500206;12,1;
33281001;19500207;4,4;
33281001;19500208;8,9;
33281001;19500209;7,1;
33281001;19500210;7,9;
33281001;19500211;9,0;
33281001;19500212;6,4;
33281001;19500213;6,6;
33281001;19500214;4,4;
33281001;19500215;3,4;
33281001;19500216;3,5;
33281001;19500217;3,1;
33281001;19500218;2,1;
33281001;19500219;0,6;
33281001;19500220;4,6;
33281001;19500221;2,1;
33281001;19500222;2,5;
33281001;19500223;3,0;
33281001;19500224;3,8;
33281001;19500225;5,0;
33281001;19500226;3,9;
33281001;19500227;0,8;
33281001;19500228;1,9;
33281001;19500301;3,1;
33281001;19500302;1,9;
33281001;19500303;1,9;
33281001;19500304;3,8;
33281001;19500305;4,9;
33281001;19500306;3,0;
33281001;19500307;2,5;
33281001;19500308;1,4;
33281001;19500309;1,8;
33281001;19500310;4,1;
33281001;19500311;2,6;
33281001;19500312;0,8;
33281001;19500313;0,5;
33281001;19500314;2,1;
33281001;19500315;6,9;
33281001;19500316;4,6;
33281001;19500317;6,0;
33281001;19500318;6,4;
33281001;19500319;5,0;
33281001;19500320;4,4;
33281001;19500321;6,8;
33281001;19500322;1,5;
33281001;19500323;2,9;
33281001;19500324;2,5;
33281001;19500325;2,8;
33281001;19500326;4,9;
33281001;19500327;5,5;
33281001;19500328;3,6;
33281001;19500329;3,8;
33281001;19500330;6,4;
33281001;19500331;5,1;
33281001;19500401;2,9;
33281001;19500402;7,4;
33281001;19500403;5,8;
33281001;19500404;2,3;
33281001;19500405;1,5;
33281001;19500406;2,5;
33281001;19500407;3,0;
33281001;19500408;3,1;
33281001;19500409;4,5;
33281001;19500410;2,9;
33281001;19500411;5,1;
33281001;19500412;3,6;
33281001;19500413;3,0;
33281001;19500414;2,3;
33281001;19500415;2,4;
33281001;19500416;1,9;
33281001;19500417;3,5;
33281001;19500418;6,5;
33281001;19500419;4,0;
33281001;19500420;2,1;
33281001;19500421;4,5;
33281001;19500422;4,0;
33281001;19500423;5,3;
33281001;19500424;6,0;
33281001;19500425;4,5;
33281001;19500426;6,5;
33281001;19500427;6,4;
33281001;19500428;3,8;
33281001;19500429;1,9;
33281001;19500430;1,9;
33281001;19500501;4,0;
33281001;19500502;2,6;
33281001;19500503;3,0;
33281001;19500504;3,3;
33281001;19500505;5,8;
33281001;19500506;4,1;
33281001;19500507;3,0;
33281001;19500508;2,4;
33281001;19500509;1,3;
33281001;19500510;2,0;
