Date,P,Tn,Tx,Tm,Pr,Sun,Hail,ETPmon,Wind
1950-01-01,0.0,1.2,2.6,2.4,1026.6,0,0.0,0.3,3.5
1950-01-02,0.0,0.4,6.0,2.3,1031.7,96,0.0,0.5,0.9
1950-01-03,1.5,-1.0,11.9,6.4,1025.4,12,0.0,0.1,3.8
1950-01-04,0.3,8.0,10.2,9.0,1022.1,0,0.0,0.6,3.6
1950-01-05,4.0,7.6,10.1,8.3,1018.7,6,0.0,0.3,0.8
1950-01-06,0.0,6.0,14.0,9.3,1017.7,78,0.0,0.5,2.0
1950-01-07,0.0,5.1,11.3,7.7,1016.3,276,0.0,0.7,4.5
1950-01-08,0.0,5.7,12.8,8.8,1015.4,132,0.0,0.9,6.3
1950-01-09,0.2,7.8,15.9,10.4,1016.9,84,0.0,1.1,3.3
1950-01-10,0.0,3.3,12.3,6.8,1029.8,138,0.0,0.3,0.8
1950-01-11,0.0,-0.3,11.9,4.5,1034.1,198,0.0,0.3,1.9
1950-01-12,0.0,3.7,7.7,5.3,1031.4,84,0.0,0.4,3.8
1950-01-13,0.0,3.1,7.8,5.5,1028.2,0,0.0,0.1,2.3
1950-01-14,0.0,6.8,10.0,7.9,1032.0,0,0.0,0.6,1.4
1950-01-15,0.0,1.8,10.0,6.0,1032.1,48,0.0,0.5,1.4
1950-01-16,10.3,1.2,9.6,5.5,1023.3,78,0.0,0.2,3.3
1950-01-17,2.3,2.0,8.5,5.0,1020.1,258,0.0,0.5,4.3
1950-01-18,0.0,2.6,7.0,4.7,1025.3,150,0.0,1.2,6.5
1950-01-19,0.0,-2.5,1.0,-0.6,1024.4,0,0.0,0.5,4.1
1950-01-20,0.0,-4.0,-0.4,-2.5,1022.0,162,0.0,0.7,4.8
1950-01-21,0.0,-4.0,0.3,-2.3,1023.3,348,0.0,0.3,1.5
1950-01-22,0.0,-8.2,5.2,-2.7,1021.6,252,0.0,0.3,1.0
1950-01-23,0.0,-6.4,2.5,-2.8,1016.6,276,0.0,0.3,1.6
1950-01-24,0.0,-3.8,-0.4,-2.2,1013.4,0,0.0,0.3,1.3
1950-01-25,0.0,-3.6,5.2,0.7,1016.6,0,0.0,0.4,2.0
1950-01-26,0.0,0.2,7.1,2.5,1020.0,342,0.0,0.7,2.5
1950-01-27,0.0,-4.0,7.8,0.9,1019.6,360,0.0,0.5,2.4
1950-01-28,0.0,-3.4,7.2,0.8,1014.4,438,0.0,0.6,3.3
1950-01-29,1.5,-3.1,4.0,0.3,1014.7,0,0.0,0.2,2.3
1950-01-30,0.0,2.0,13.0,6.1,1016.9,186,0.0,0.5,3.8
1950-01-31,4.8,4.9,14.7,8.3,1014.5,120,0.0,1.4,5.5
1950-02-01,0.0,1.6,12.0,6.7,1017.9,438,0.0,0.9,4.3
1950-02-02,0.5,4.7,14.3,8.6,1012.5,246,0.0,1.8,5.9
1950-02-03,3.6,8.1,12.5,10.3,1010.0,0,0.0,1.5,7.4
1950-02-04,2.5,6.3,13.3,9.8,1009.4,42,0.0,1.6,7.1
1950-02-05,9.3,3.2,11.8,7.0,1010.4,0,0.0,0.9,7.8
1950-02-06,10.6,8.2,12.0,10.3,1010.0,54,0.0,2.0,12.1
1950-02-07,12.5,2.8,11.5,7.5,1024.5,18,0.0,0.3,4.4
1950-02-08,9.2,8.2,13.4,10.2,1021.9,204,0.0,1.5,8.9
